,V1,athlete,gender,run,location,date,TurnNr,MinimalRadius,VelocityAtMinRadius,VelocityAtTurnEntry,VelocityAtTurnExit,TimeStarttoEnd,TimeStartToMinRad,TimeMinRadToEnd,GlideTime_endtostart,TimeStarttoEnd_2,Initiation,Completion,Gliding,Unnamed0,vectortonext,vector2Dtonext,GATEDISTANCE,dist2Dtonext,vectortonextnorm,vector2Dtonextnorm,STEEPNESS,azitonext,slopechangetonext,angletonext,projtonext,projpttonext,offsettonext,vectortonextnext,vector2Dtonextnext,dist3Dtonextnext,dts2Dtonextnext,vectortonextnextnorm,vector2Dtonextnextnorm,slopetonextnext,azitonextnext,HORIZONTALGATEDISTANCE,VERTICALGATEDISTANCE,regularbs1orfs2,steepness_A,filter_$,goofy2_regular1,@2Ferse_3Zehe_4Ferse,Zehen1_Fersen2,DistanzSchätz
0,35,3,1,1,Zermatt,200915,2,10.63,53.6,55.7,55.2,1.28,0.64,0.64,0.24,1.52,0.421052631578947,0.421052631578947,0.157894736842105,"[400806.836793265,5086826.82763234,3607.85520000000]","[-14.3678025804111,15.6543538719416,-6.14763243243351]","[-14.3678025804111,15.6543538719416]",22.119808558438,21.2483539630165,"[-0.649544617099781,0.707707475432464,-0.277924305546866]","[-0.676184263751382,0.736732544044989]",-16.1363597629353,317.45381726002,6.17165363443781,44.982880808278,14.3891166528719,"[400808.048244704,5086841.16566092]",15.6347647276087,"[-12.3088065133197,36.6908636465669,-14.3017714285734]","[-12.3088065133197,36.6908636465669]",41.2585368003818,38.700467605874,"[-0.298333568465419,0.889291441043719,-0.346637872733311]","[-0.318053172862735,0.948072876540589]",-20.2818097126141,341.454770185482,8.51557932154781,20.4149660660631,1,2,0,1,2,2,30.6353878799858
1,36,3,1,2,Zermatt,200915,2,11.05,52.3,57.7,55.6,1.32,0.6,0.72,0.24,1.56,0.384615384615385,0.461538461538462,0.153846153846154,"[400806.836793265,5086826.82763234,3607.85520000000]","[-14.3678025804111,15.6543538719416,-6.14763243243351]","[-14.3678025804111,15.6543538719416]",22.119808558438,21.2483539630165,"[-0.649544617099781,0.707707475432464,-0.277924305546866]","[-0.676184263751382,0.736732544044989]",-16.1363597629353,317.45381726002,6.17165363443781,44.982880808278,14.3891166528719,"[400808.048244704,5086841.16566092]",15.6347647276087,"[-12.3088065133197,36.6908636465669,-14.3017714285734]","[-12.3088065133197,36.6908636465669]",41.2585368003818,38.700467605874,"[-0.298333568465419,0.889291441043719,-0.346637872733311]","[-0.318053172862735,0.948072876540589]",-20.2818097126141,341.454770185482,8.51557932154781,20.4149660660631,1,2,0,1,2,2,30.6353878799858
2,37,3,1,3,Zermatt,200915,2,10.99,52.8,57,58.2,1.32,0.6,0.72,0.24,1.56,0.384615384615385,0.461538461538462,0.153846153846154,"[400806.836793265,5086826.82763234,3607.85520000000]","[-14.3678025804111,15.6543538719416,-6.14763243243351]","[-14.3678025804111,15.6543538719416]",22.119808558438,21.2483539630165,"[-0.649544617099781,0.707707475432464,-0.277924305546866]","[-0.676184263751382,0.736732544044989]",-16.1363597629353,317.45381726002,6.17165363443781,44.982880808278,14.3891166528719,"[400808.048244704,5086841.16566092]",15.6347647276087,"[-12.3088065133197,36.6908636465669,-14.3017714285734]","[-12.3088065133197,36.6908636465669]",41.2585368003818,38.700467605874,"[-0.298333568465419,0.889291441043719,-0.346637872733311]","[-0.318053172862735,0.948072876540589]",-20.2818097126141,341.454770185482,8.51557932154781,20.4149660660631,1,2,0,1,2,2,30.6353878799858
3,38,3,1,4,Zermatt,200915,2,11.41,52.2,54.5,54.9,1.52,0.88,0.64,0.24,1.76,0.5,0.363636363636364,0.136363636363636,"[400806.836793265,5086826.82763234,3607.85520000000]","[-14.3678025804111,15.6543538719416,-6.14763243243351]","[-14.3678025804111,15.6543538719416]",22.119808558438,21.2483539630165,"[-0.649544617099781,0.707707475432464,-0.277924305546866]","[-0.676184263751382,0.736732544044989]",-16.1363597629353,317.45381726002,6.17165363443781,44.982880808278,14.3891166528719,"[400808.048244704,5086841.16566092]",15.6347647276087,"[-12.3088065133197,36.6908636465669,-14.3017714285734]","[-12.3088065133197,36.6908636465669]",41.2585368003818,38.700467605874,"[-0.298333568465419,0.889291441043719,-0.346637872733311]","[-0.318053172862735,0.948072876540589]",-20.2818097126141,341.454770185482,8.51557932154781,20.4149660660631,1,2,0,1,2,2,30.6353878799858
4,39,5,1,1,Zermatt,200915,2,11.31,49.7,50,58.1,1.8,1.08,0.72,0.28,2.08,0.519230769230769,0.346153846153846,0.134615384615385,"[400806.836793265,5086826.82763234,3607.85520000000]","[-14.3678025804111,15.6543538719416,-6.14763243243351]","[-14.3678025804111,15.6543538719416]",22.119808558438,21.2483539630165,"[-0.649544617099781,0.707707475432464,-0.277924305546866]","[-0.676184263751382,0.736732544044989]",-16.1363597629353,317.45381726002,6.17165363443781,44.982880808278,14.3891166528719,"[400808.048244704,5086841.16566092]",15.6347647276087,"[-12.3088065133197,36.6908636465669,-14.3017714285734]","[-12.3088065133197,36.6908636465669]",41.2585368003818,38.700467605874,"[-0.298333568465419,0.889291441043719,-0.346637872733311]","[-0.318053172862735,0.948072876540589]",-20.2818097126141,341.454770185482,8.51557932154781,20.4149660660631,1,2,0,2,3,1,30.6353878799858
5,40,5,1,2,Zermatt,200915,2,11.97,50.1,49.4,56.6,1.68,0.88,0.8,0.28,1.96,0.448979591836735,0.408163265306122,0.142857142857143,"[400806.836793265,5086826.82763234,3607.85520000000]","[-14.3678025804111,15.6543538719416,-6.14763243243351]","[-14.3678025804111,15.6543538719416]",22.119808558438,21.2483539630165,"[-0.649544617099781,0.707707475432464,-0.277924305546866]","[-0.676184263751382,0.736732544044989]",-16.1363597629353,317.45381726002,6.17165363443781,44.982880808278,14.3891166528719,"[400808.048244704,5086841.16566092]",15.6347647276087,"[-12.3088065133197,36.6908636465669,-14.3017714285734]","[-12.3088065133197,36.6908636465669]",41.2585368003818,38.700467605874,"[-0.298333568465419,0.889291441043719,-0.346637872733311]","[-0.318053172862735,0.948072876540589]",-20.2818097126141,341.454770185482,8.51557932154781,20.4149660660631,1,2,0,2,3,1,30.6353878799858
6,41,5,1,3,Zermatt,200915,2,12.82,53.2,52.1,58.3,1.72,1.04,0.68,0.24,1.96,0.530612244897959,0.346938775510204,0.122448979591837,"[400806.836793265,5086826.82763234,3607.85520000000]","[-14.3678025804111,15.6543538719416,-6.14763243243351]","[-14.3678025804111,15.6543538719416]",22.119808558438,21.2483539630165,"[-0.649544617099781,0.707707475432464,-0.277924305546866]","[-0.676184263751382,0.736732544044989]",-16.1363597629353,317.45381726002,6.17165363443781,44.982880808278,14.3891166528719,"[400808.048244704,5086841.16566092]",15.6347647276087,"[-12.3088065133197,36.6908636465669,-14.3017714285734]","[-12.3088065133197,36.6908636465669]",41.2585368003818,38.700467605874,"[-0.298333568465419,0.889291441043719,-0.346637872733311]","[-0.318053172862735,0.948072876540589]",-20.2818097126141,341.454770185482,8.51557932154781,20.4149660660631,1,2,0,2,3,1,30.6353878799858
7,42,5,1,4,Zermatt,200915,2,10.07,47,49.8,54.8,1.8,1.08,0.72,0.24,2.04,0.529411764705882,0.352941176470588,0.117647058823529,"[400806.836793265,5086826.82763234,3607.85520000000]","[-14.3678025804111,15.6543538719416,-6.14763243243351]","[-14.3678025804111,15.6543538719416]",22.119808558438,21.2483539630165,"[-0.649544617099781,0.707707475432464,-0.277924305546866]","[-0.676184263751382,0.736732544044989]",-16.1363597629353,317.45381726002,6.17165363443781,44.982880808278,14.3891166528719,"[400808.048244704,5086841.16566092]",15.6347647276087,"[-12.3088065133197,36.6908636465669,-14.3017714285734]","[-12.3088065133197,36.6908636465669]",41.2585368003818,38.700467605874,"[-0.298333568465419,0.889291441043719,-0.346637872733311]","[-0.318053172862735,0.948072876540589]",-20.2818097126141,341.454770185482,8.51557932154781,20.4149660660631,1,2,0,2,3,1,30.6353878799858
8,43,1,2,1,Zermatt,200915,2,11.81,45.5,49,49.3,1.88,1.16,0.72,0.24,2.12,0.547169811320755,0.339622641509434,0.113207547169811,"[400806.836793265,5086826.82763234,3607.85520000000]","[-14.3678025804111,15.6543538719416,-6.14763243243351]","[-14.3678025804111,15.6543538719416]",22.119808558438,21.2483539630165,"[-0.649544617099781,0.707707475432464,-0.277924305546866]","[-0.676184263751382,0.736732544044989]",-16.1363597629353,317.45381726002,6.17165363443781,44.982880808278,14.3891166528719,"[400808.048244704,5086841.16566092]",15.6347647276087,"[-12.3088065133197,36.6908636465669,-14.3017714285734]","[-12.3088065133197,36.6908636465669]",41.2585368003818,38.700467605874,"[-0.298333568465419,0.889291441043719,-0.346637872733311]","[-0.318053172862735,0.948072876540589]",-20.2818097126141,341.454770185482,8.51557932154781,20.4149660660631,1,2,0,1,2,2,30.6353878799858
9,44,1,2,2,Zermatt,200915,2,12.42,46.9,51.4,47.1,1.76,1.12,0.64,0,1.76,0.636363636363636,0.363636363636364,0,"[400806.836793265,5086826.82763234,3607.85520000000]","[-14.3678025804111,15.6543538719416,-6.14763243243351]","[-14.3678025804111,15.6543538719416]",22.119808558438,21.2483539630165,"[-0.649544617099781,0.707707475432464,-0.277924305546866]","[-0.676184263751382,0.736732544044989]",-16.1363597629353,317.45381726002,6.17165363443781,44.982880808278,14.3891166528719,"[400808.048244704,5086841.16566092]",15.6347647276087,"[-12.3088065133197,36.6908636465669,-14.3017714285734]","[-12.3088065133197,36.6908636465669]",41.2585368003818,38.700467605874,"[-0.298333568465419,0.889291441043719,-0.346637872733311]","[-0.318053172862735,0.948072876540589]",-20.2818097126141,341.454770185482,8.51557932154781,20.4149660660631,1,2,0,1,2,2,30.6353878799858
10,45,1,2,3,Zermatt,200915,2,11.76,45.1,48,48,1.96,1.24,0.72,0.2,2.16,0.574074074074074,0.333333333333333,0.092592592592593,"[400806.836793265,5086826.82763234,3607.85520000000]","[-14.3678025804111,15.6543538719416,-6.14763243243351]","[-14.3678025804111,15.6543538719416]",22.119808558438,21.2483539630165,"[-0.649544617099781,0.707707475432464,-0.277924305546866]","[-0.676184263751382,0.736732544044989]",-16.1363597629353,317.45381726002,6.17165363443781,44.982880808278,14.3891166528719,"[400808.048244704,5086841.16566092]",15.6347647276087,"[-12.3088065133197,36.6908636465669,-14.3017714285734]","[-12.3088065133197,36.6908636465669]",41.2585368003818,38.700467605874,"[-0.298333568465419,0.889291441043719,-0.346637872733311]","[-0.318053172862735,0.948072876540589]",-20.2818097126141,341.454770185482,8.51557932154781,20.4149660660631,1,2,0,1,2,2,30.6353878799858
